simulationId,slug,class,gradeBand,chapter,topic,activityNumber,activityTitle,subject,primaryArchetype,secondaryArchetypes,simulationFormat,xrFitType,comfortRiskLevel,expectedDurationMinutes,packageSizeTargetMb,reuseGroup,implementationNotes
sim-c07-ch06-a01-types-of-physical-changes-part-1,c7-ch06-a01-types-of-physical-changes-part-1,7,class6To8,6,Physical and Chemical Changes,1,Types of physical changes: Part-1,chemistry,modelInspection,sortingBoard,interactive3d,strongVrFit,low,10,250,chemistry:physical-and-chemical-changes,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch06-a02-types-of-physical-changes-part-2,c7-ch06-a02-types-of-physical-changes-part-2,7,class6To8,6,Physical and Chemical Changes,2,Types of physical changes: Part-2,chemistry,modelInspection,sortingBoard,interactive3d,strongVrFit,low,10,250,chemistry:physical-and-chemical-changes,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch06-a03-chemical-reaction-burning-of-magnesium-ribbon,c7-ch06-a03-chemical-reaction-burning-of-magnesium-ribbon,7,class6To8,6,Physical and Chemical Changes,3,Chemical Reaction: Burning of Magnesium Ribbon,chemistry,experimentBench,,practicalLabSimulation,strongVrFit,low,10,225,chemistry:physical-and-chemical-changes,"Use variable controls, predict-observe-explain prompts, resettable safe lab state, and visible invisible forces or particles where useful."
sim-c07-ch06-a04-rusting-of-iron,c7-ch06-a04-rusting-of-iron,7,class6To8,6,Physical and Chemical Changes,4,Rusting of Iron,chemistry,experimentBench,,practicalLabSimulation,strongVrFit,low,10,225,chemistry:physical-and-chemical-changes,"Use variable controls, predict-observe-explain prompts, resettable safe lab state, and visible invisible forces or particles where useful."
sim-c07-ch06-a05-reactivity-of-metals,c7-ch06-a05-reactivity-of-metals,7,class6To8,6,Physical and Chemical Changes,5,Reactivity of metals,chemistry,modelInspection,,interactive3d,strongVrFit,low,10,250,chemistry:physical-and-chemical-changes,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch07-a01-adaptation-of-animals-in-tropical-rainforests,c7-ch07-a01-adaptation-of-animals-in-tropical-rainforests,7,class6To8,7,"Weather, Climate and Adaptations ofAnimals to Climate",1,Adaptation of animals in tropical rainforests,biology,guidedTour,systemMap,virtualFieldVisit,strongVrFit,low,11,375,biology:weather-climate-and-adaptations-ofanimals-to-climate,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch08-a01-air-exerts-pressure,c7-ch08-a01-air-exerts-pressure,7,class6To8,8,"Winds, Storms and Cyclones",1,Air exerts pressure,physics,modelInspection,,interactive3d,strongVrFit,medium,10,250,physics:winds-storms-and-cyclones,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch08-a02-high-pressure-area-and-low-pressure-area-of-air-and-effects,c7-ch08-a02-high-pressure-area-and-low-pressure-area-of-air-and-effects,7,class6To8,8,"Winds, Storms and Cyclones",2,High pressure area and low pressure area of air and effects,physics,modelInspection,,interactive3d,strongVrFit,medium,10,250,physics:winds-storms-and-cyclones,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch08-a03-high-speed-wind-reduces-the-air-pressure,c7-ch08-a03-high-speed-wind-reduces-the-air-pressure,7,class6To8,8,"Winds, Storms and Cyclones",3,High speed wind reduces the air pressure,physics,measurementGraph,,interactive3d,strongVrFit,medium,9,125,physics:winds-storms-and-cyclones,"Use instrument panel, recorded readings, plotted graph, and one interpretable data question."
sim-c07-ch08-a04-air-expands-on-heating,c7-ch08-a04-air-expands-on-heating,7,class6To8,8,"Winds, Storms and Cyclones",4,Air expands on heating,physics,modelInspection,,interactive3d,strongVrFit,medium,10,250,physics:winds-storms-and-cyclones,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch08-a05-wind-current-on-the-earth,c7-ch08-a05-wind-current-on-the-earth,7,class6To8,8,"Winds, Storms and Cyclones",5,Wind current on the earth,physics,modelInspection,measurementGraph|systemMap,interactive3d,strongVrFit,medium,10,250,physics:winds-storms-and-cyclones,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch08-a06-monsoon-winds,c7-ch08-a06-monsoon-winds,7,class6To8,8,"Winds, Storms and Cyclones",6,Monsoon Winds,environmentalScience,systemMap,,guidedVisualization,strongVrFit,medium,10,190,environmentalScience:winds-storms-and-cyclones,"Use node-flow system map with visible inputs, outputs, feedback loops, and local-context example where possible."
sim-c07-ch09-a01-soil-profile,c7-ch09-a01-soil-profile,7,class6To8,9,Soil,1,Soil profile,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,10,250,environmentalScience:soil,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch09-a02-test-of-the-percolation-rate-of-soil,c7-ch09-a02-test-of-the-percolation-rate-of-soil,7,class6To8,9,Soil,2,Test of the percolation rate of soil,environmentalScience,experimentBench,measurementGraph,practicalLabSimulation,strongVrFit,low,10,225,environmentalScience:soil,"Use variable controls, predict-observe-explain prompts, resettable safe lab state, and visible invisible forces or particles where useful."
sim-c07-ch09-a03-measurement-of-moisture-in-soil,c7-ch09-a03-measurement-of-moisture-in-soil,7,class6To8,9,Soil,3,Measurement of moisture in soil,environmentalScience,experimentBench,measurementGraph,practicalLabSimulation,strongVrFit,low,10,225,environmentalScience:soil,"Use variable controls, predict-observe-explain prompts, resettable safe lab state, and visible invisible forces or particles where useful."
sim-c07-ch09-a04-layers-of-soil,c7-ch09-a04-layers-of-soil,7,class6To8,9,Soil,4,Layers of soil,environmentalScience,modelInspection,,interactive3d,strongVrFit,low,10,250,environmentalScience:soil,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch10-a01-the-breathing-rate,c7-ch10-a01-the-breathing-rate,7,class6To8,10,Respiration in Organisms part - 1,1,The breathing rate,biology,modelInspection,processTimeline|measurementGraph,interactive3d,strongVrFit,low,10,250,biology:respiration-in-organisms-part-1,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch10-a02-the-breathing-process-in-human,c7-ch10-a02-the-breathing-process-in-human,7,class6To8,10,Respiration in Organisms part - 1,2,The breathing process in human,biology,modelInspection,processTimeline,interactive3d,strongVrFit,low,10,250,biology:respiration-in-organisms-part-1,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch10-a03-aerobic-respiration-in-human,c7-ch10-a03-aerobic-respiration-in-human,7,class6To8,10,Respiration in Organisms part - 1,3,Aerobic respiration in human,biology,modelInspection,processTimeline,interactive3d,strongVrFit,low,10,250,biology:respiration-in-organisms-part-1,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch10-a04-anaerobic-respiration-in-human,c7-ch10-a04-anaerobic-respiration-in-human,7,class6To8,10,Respiration in Organisms part - 1,4,Anaerobic respiration in Human,biology,modelInspection,processTimeline,interactive3d,strongVrFit,low,10,250,biology:respiration-in-organisms-part-1,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch11-a01-anaerobic-respiration-in-yeast,c7-ch11-a01-anaerobic-respiration-in-yeast,7,class6To8,11,Respiration in Organisms part - 2,1,Anaerobic respiration in yeast,biology,modelInspection,processTimeline,interactive3d,strongVrFit,low,10,250,biology:respiration-in-organisms-part-2,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch11-a02-breathing-in-cockroach-and-earthworm,c7-ch11-a02-breathing-in-cockroach-and-earthworm,7,class6To8,11,Respiration in Organisms part - 2,2,Breathing in cockroach and earthworm,biology,modelInspection,processTimeline,interactive3d,strongVrFit,low,10,250,biology:respiration-in-organisms-part-2,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch11-a03-breathing-in-fish,c7-ch11-a03-breathing-in-fish,7,class6To8,11,Respiration in Organisms part - 2,3,Breathing in fish,biology,modelInspection,processTimeline,interactive3d,strongVrFit,low,10,250,biology:respiration-in-organisms-part-2,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch12-a01-the-blood-and-its-components,c7-ch12-a01-the-blood-and-its-components,7,class6To8,12,Transportation in Animals and Plants,1,The blood and its components,biology,guidedTour,modelInspection|processTimeline,virtualFieldVisit,strongVrFit,low,11,375,biology:transportation-in-animals-and-plants,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch12-a02-the-circulatory-system-in-human,c7-ch12-a02-the-circulatory-system-in-human,7,class6To8,12,Transportation in Animals and Plants,2,The circulatory system in human,biology,guidedTour,modelInspection|processTimeline,virtualFieldVisit,strongVrFit,low,11,375,biology:transportation-in-animals-and-plants,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch12-a03-introduction-to-human-heart,c7-ch12-a03-introduction-to-human-heart,7,class6To8,12,Transportation in Animals and Plants,3,Introduction to human heart,biology,guidedTour,modelInspection|processTimeline,virtualFieldVisit,strongVrFit,low,11,375,biology:transportation-in-animals-and-plants,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch12-a04-human-excretory-system,c7-ch12-a04-human-excretory-system,7,class6To8,12,Transportation in Animals and Plants,4,Human Excretory system,biology,guidedTour,modelInspection|processTimeline,virtualFieldVisit,strongVrFit,low,11,375,biology:transportation-in-animals-and-plants,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch12-a05-transport-of-water-and-food-in-plants,c7-ch12-a05-transport-of-water-and-food-in-plants,7,class6To8,12,Transportation in Animals and Plants,5,Transport of water and food in plants,biology,guidedTour,processTimeline,virtualFieldVisit,strongVrFit,low,11,375,biology:transportation-in-animals-and-plants,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch13-a01-vegetative-propagation-by-stem-cutting,c7-ch13-a01-vegetative-propagation-by-stem-cutting,7,class6To8,13,Reproduction in Plants part - 1,1,Vegetative propagation by stem cutting,biology,guidedTour,processTimeline,virtualFieldVisit,strongVrFit,low,11,375,biology:reproduction-in-plants-part-1,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch13-a02-vegetative-propagation-by-buds-or-eyes,c7-ch13-a02-vegetative-propagation-by-buds-or-eyes,7,class6To8,13,Reproduction in Plants part - 1,2,Vegetative propagation by buds or eyes,biology,guidedTour,modelInspection|processTimeline,virtualFieldVisit,strongVrFit,low,11,375,biology:reproduction-in-plants-part-1,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch13-a03-vegetative-propagation-in-leaf,c7-ch13-a03-vegetative-propagation-in-leaf,7,class6To8,13,Reproduction in Plants part - 1,3,Vegetative propagation in Leaf,biology,guidedTour,processTimeline,virtualFieldVisit,strongVrFit,low,11,375,biology:reproduction-in-plants-part-1,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch13-a04-vegetative-propagation-in-cactus,c7-ch13-a04-vegetative-propagation-in-cactus,7,class6To8,13,Reproduction in Plants part - 1,4,Vegetative propagation in cactus,biology,guidedTour,processTimeline,virtualFieldVisit,strongVrFit,low,11,375,biology:reproduction-in-plants-part-1,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch14-a01-fragmentation-in-spirogyra,c7-ch14-a01-fragmentation-in-spirogyra,7,class6To8,14,Reproduction in Plants part - 2,1,Fragmentation in spirogyra,biology,guidedTour,processTimeline,virtualFieldVisit,strongVrFit,low,11,375,biology:reproduction-in-plants-part-2,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch14-a02-asexual-reproduction-by-spore-formation,c7-ch14-a02-asexual-reproduction-by-spore-formation,7,class6To8,14,Reproduction in Plants part - 2,2,Asexual reproduction by spore formation,biology,guidedTour,processTimeline,virtualFieldVisit,strongVrFit,low,11,375,biology:reproduction-in-plants-part-2,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch14-a03-reproduction-through-spore-formation-in-fern,c7-ch14-a03-reproduction-through-spore-formation-in-fern,7,class6To8,14,Reproduction in Plants part - 2,3,Reproduction through spore formation in fern,biology,guidedTour,processTimeline,virtualFieldVisit,strongVrFit,low,11,375,biology:reproduction-in-plants-part-2,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch15-a01-structure-and-function-of-the-flower,c7-ch15-a01-structure-and-function-of-the-flower,7,class6To8,15,Reproduction in Plants part - 3,1,Structure and function of the flower,biology,guidedTour,modelInspection|processTimeline,virtualFieldVisit,strongVrFit,low,11,375,biology:reproduction-in-plants-part-3,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch15-a02-pollination-and-fertilization,c7-ch15-a02-pollination-and-fertilization,7,class6To8,15,Reproduction in Plants part - 3,2,Pollination and fertilization,biology,guidedTour,processTimeline,virtualFieldVisit,strongVrFit,low,11,375,biology:reproduction-in-plants-part-3,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch15-a03-seed-dispersal,c7-ch15-a03-seed-dispersal,7,class6To8,15,Reproduction in Plants part - 3,3,Seed Dispersal,biology,guidedTour,processTimeline,virtualFieldVisit,strongVrFit,low,11,375,biology:reproduction-in-plants-part-3,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch16-a01-slow-motion-or-fast-motion,c7-ch16-a01-slow-motion-or-fast-motion,7,class6To8,16,Motion and Time,1,Slow motion or Fast motion,physics,measurementGraph,,interactive3d,strongVrFit,low,9,125,physics:motion-and-time,"Use instrument panel, recorded readings, plotted graph, and one interpretable data question."
sim-c07-ch16-a02-measurement-of-time,c7-ch16-a02-measurement-of-time,7,class6To8,16,Motion and Time,2,Measurement Of Time,physics,measurementGraph,,interactive3d,strongVrFit,low,9,125,physics:motion-and-time,"Use instrument panel, recorded readings, plotted graph, and one interpretable data question."
sim-c07-ch16-a03-speed-and-its-measurement,c7-ch16-a03-speed-and-its-measurement,7,class6To8,16,Motion and Time,3,Speed and its measurement,physics,measurementGraph,,interactive3d,strongVrFit,low,9,125,physics:motion-and-time,"Use instrument panel, recorded readings, plotted graph, and one interpretable data question."
sim-c07-ch16-a04-units-of-speed,c7-ch16-a04-units-of-speed,7,class6To8,16,Motion and Time,4,Units of speed,physics,measurementGraph,,interactive3d,strongVrFit,low,9,125,physics:motion-and-time,"Use instrument panel, recorded readings, plotted graph, and one interpretable data question."
sim-c07-ch16-a05-uniform-motion,c7-ch16-a05-uniform-motion,7,class6To8,16,Motion and Time,5,Uniform motion,physics,measurementGraph,,interactive3d,strongVrFit,low,9,125,physics:motion-and-time,"Use instrument panel, recorded readings, plotted graph, and one interpretable data question."
sim-c07-ch16-a06-distance-vs-time-graph-for-uniform-motion,c7-ch16-a06-distance-vs-time-graph-for-uniform-motion,7,class6To8,16,Motion and Time,6,Distance vs Time graph for uniform motion,physics,measurementGraph,,interactive3d,strongVrFit,low,9,125,physics:motion-and-time,"Use instrument panel, recorded readings, plotted graph, and one interpretable data question."
sim-c07-ch16-a07-non-uniform-motion,c7-ch16-a07-non-uniform-motion,7,class6To8,16,Motion and Time,7,Non-Uniform motion,physics,measurementGraph,,interactive3d,strongVrFit,low,9,125,physics:motion-and-time,"Use instrument panel, recorded readings, plotted graph, and one interpretable data question."
sim-c07-ch16-a08-distance-vs-time-graph-for-non-uniform-motion,c7-ch16-a08-distance-vs-time-graph-for-non-uniform-motion,7,class6To8,16,Motion and Time,8,Distance Vs Time Graph for non- uniform motion,physics,measurementGraph,,interactive3d,strongVrFit,low,9,125,physics:motion-and-time,"Use instrument panel, recorded readings, plotted graph, and one interpretable data question."
sim-c07-ch17-a01-symbol-of-electric-components,c7-ch17-a01-symbol-of-electric-components,7,class6To8,17,Electric Current and Its Effects,1,Symbol of electric components,physics,modelInspection,measurementGraph,interactive3d,strongVrFit,low,10,250,physics:electric-current-and-its-effects,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch17-a02-the-making-of-a-battery,c7-ch17-a02-the-making-of-a-battery,7,class6To8,17,Electric Current and Its Effects,2,The Making of a battery,physics,processTimeline,measurementGraph,guidedVisualization,strongVrFit,low,10,210,physics:electric-current-and-its-effects,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c07-ch17-a03-heating-effect-of-electric-current-and-its-uses,c7-ch17-a03-heating-effect-of-electric-current-and-its-uses,7,class6To8,17,Electric Current and Its Effects,3,Heating effect of electric current and its uses,physics,measurementGraph,,interactive3d,strongVrFit,low,9,125,physics:electric-current-and-its-effects,"Use instrument panel, recorded readings, plotted graph, and one interpretable data question."
sim-c07-ch17-a04-the-fuse-working-principle-and-application,c7-ch17-a04-the-fuse-working-principle-and-application,7,class6To8,17,Electric Current and Its Effects,4,The fuse: Working principle and application,physics,processTimeline,measurementGraph,guidedVisualization,strongVrFit,low,10,210,physics:electric-current-and-its-effects,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c07-ch17-a05-magnetic-effect-of-electric-current,c7-ch17-a05-magnetic-effect-of-electric-current,7,class6To8,17,Electric Current and Its Effects,5,Magnetic effect of electric current,physics,modelInspection,measurementGraph,interactive3d,strongVrFit,low,10,250,physics:electric-current-and-its-effects,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch17-a06-the-working-of-electric-bell,c7-ch17-a06-the-working-of-electric-bell,7,class6To8,17,Electric Current and Its Effects,6,The working of Electric Bell,physics,processTimeline,measurementGraph,guidedVisualization,strongVrFit,low,10,210,physics:electric-current-and-its-effects,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c07-ch18-a01-travelling-of-light,c7-ch18-a01-travelling-of-light,7,class6To8,18,Light,1,Travelling of light,physics,modelInspection,,interactive3d,strongVrFit,low,10,250,physics:light,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch18-a02-concave-mirror-and-its-use,c7-ch18-a02-concave-mirror-and-its-use,7,class6To8,18,Light,2,Concave mirror and its use,physics,modelInspection,,interactive3d,strongVrFit,low,10,250,physics:light,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch18-a03-convex-mirror-and-its-use,c7-ch18-a03-convex-mirror-and-its-use,7,class6To8,18,Light,3,Convex mirror and its use,physics,modelInspection,,interactive3d,strongVrFit,low,10,250,physics:light,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch18-a04-the-newton-s-disc,c7-ch18-a04-the-newton-s-disc,7,class6To8,18,Light,4,The Newton's Disc,physics,modelInspection,,interactive3d,strongVrFit,low,10,250,physics:light,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c07-ch18-a05-refraction-of-light-by-convex-lens-and-concave-lens,c7-ch18-a05-refraction-of-light-by-convex-lens-and-concave-lens,7,class6To8,18,Light,5,Refraction of light by convex lens and concave lens,physics,experimentBench,modelInspection,practicalLabSimulation,strongVrFit,low,10,225,physics:light,"Use variable controls, predict-observe-explain prompts, resettable safe lab state, and visible invisible forces or particles where useful."
sim-c07-ch18-a06-laws-of-reflection-of-light,c7-ch18-a06-laws-of-reflection-of-light,7,class6To8,18,Light,6,Laws of reflection of light,physics,experimentBench,,practicalLabSimulation,strongVrFit,low,10,225,physics:light,"Use variable controls, predict-observe-explain prompts, resettable safe lab state, and visible invisible forces or particles where useful."
sim-c07-ch19-a01-water-cycle,c7-ch19-a01-water-cycle,7,class6To8,19,Water: A Precious Resource,1,Water cycle,environmentalScience,processTimeline,sortingBoard|systemMap,guidedVisualization,strongVrFit,low,10,210,environmentalScience:water-a-precious-resource,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c07-ch19-a02-extraction-of-groundwater,c7-ch19-a02-extraction-of-groundwater,7,class6To8,19,Water: A Precious Resource,2,Extraction of groundwater,environmentalScience,sortingBoard,systemMap,interactive3d,strongVrFit,low,9,140,environmentalScience:water-a-precious-resource,"Use drag-sort classification with immediate feedback, misconception traps, and instructor review mode."
sim-c07-ch20-a01-visit-to-a-forest,c7-ch20-a01-visit-to-a-forest,7,class6To8,20,Forests: Our Lifeline,1,Visit to a forest,environmentalScience,guidedTour,,virtualFieldVisit,strongVrFit,low,11,375,environmentalScience:forests-our-lifeline,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch20-a02-the-three-link-food-chain,c7-ch20-a02-the-three-link-food-chain,7,class6To8,20,Forests: Our Lifeline,2,The three link food chain,biology,guidedTour,systemMap,virtualFieldVisit,strongVrFit,low,11,375,biology:forests-our-lifeline,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch20-a03-the-five-link-food-chain,c7-ch20-a03-the-five-link-food-chain,7,class6To8,20,Forests: Our Lifeline,3,The five link food chain,biology,guidedTour,systemMap,virtualFieldVisit,strongVrFit,low,11,375,biology:forests-our-lifeline,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch20-a04-the-balance-between-oxygen-and-carbon-dioxide,c7-ch20-a04-the-balance-between-oxygen-and-carbon-dioxide,7,class6To8,20,Forests: Our Lifeline,4,The balance between oxygen and carbon dioxide,chemistry,guidedTour,systemMap,virtualFieldVisit,strongVrFit,low,11,375,chemistry:forests-our-lifeline,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch20-a05-the-soil-erosion-and-prevention,c7-ch20-a05-the-soil-erosion-and-prevention,7,class6To8,20,Forests: Our Lifeline,5,The soil erosion and prevention,environmentalScience,guidedTour,,virtualFieldVisit,strongVrFit,low,11,375,environmentalScience:forests-our-lifeline,"Use bounded teleport or seated 360 scene with hotspots, instructor pauses, and companion observation sheet."
sim-c07-ch21-a01-waste-water-collection,c7-ch21-a01-waste-water-collection,7,class6To8,21,Waste Water Story,1,Waste Water Collection,environmentalScience,scenario,,guidedVisualization,strongVrFit,low,10,200,environmentalScience:waste-water-story,"Use decision scenario with safe choices, consequence preview, and debrief focused on reasoning rather than score."
sim-c08-ch01-a01-ploughing-preparation-of-soil,c8-ch01-a01-ploughing-preparation-of-soil,8,class6To8,1,Crop Production and Management,1,Ploughing : Preparation of Soil,environmentalScience,processTimeline,,guidedVisualization,strongVrFit,low,10,210,environmentalScience:crop-production-and-management,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c08-ch01-a02-sowing-of-seeds,c8-ch01-a02-sowing-of-seeds,8,class6To8,1,Crop Production and Management,2,Sowing of seeds,biology,processTimeline,,guidedVisualization,strongVrFit,low,10,210,biology:crop-production-and-management,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c08-ch01-a03-irrigation-methods,c8-ch01-a03-irrigation-methods,8,class6To8,1,Crop Production and Management,3,Irrigation methods,environmentalScience,processTimeline,,guidedVisualization,strongVrFit,low,10,210,environmentalScience:crop-production-and-management,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c08-ch01-a04-fertilizers-and-weedicides,c8-ch01-a04-fertilizers-and-weedicides,8,class6To8,1,Crop Production and Management,4,Fertilizers and Weedicides,environmentalScience,processTimeline,,guidedVisualization,strongVrFit,low,10,210,environmentalScience:crop-production-and-management,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c08-ch01-a05-harvesting-threshing-and-storage-of-crop,c8-ch01-a05-harvesting-threshing-and-storage-of-crop,8,class6To8,1,Crop Production and Management,5,"Harvesting, Threshing and Storage of crop",environmentalScience,processTimeline,,guidedVisualization,strongVrFit,low,10,210,environmentalScience:crop-production-and-management,"Use staged timeline with progressive reveal, scrubber, cue-card checkpoints, and final sequence recap."
sim-c08-ch02-a01-microorganisms-introduction-their-types-useful-or-harmful,c8-ch02-a01-microorganisms-introduction-their-types-useful-or-harmful,8,class6To8,2,Microorganisms : Friend and Foe,1,"Microorganisms: Introduction, Their types, Useful or Harmful",biology,modelInspection,sortingBoard,interactive3d,strongVrFit,low,10,250,biology:microorganisms-friend-and-foe,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c08-ch02-a02-virus-introduction-spreading-and-its-effects,c8-ch02-a02-virus-introduction-spreading-and-its-effects,8,class6To8,2,Microorganisms : Friend and Foe,2,"Virus: Introduction, spreading and its effects",biology,modelInspection,,interactive3d,strongVrFit,low,10,250,biology:microorganisms-friend-and-foe,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c08-ch02-a03-fungi-and-its-development,c8-ch02-a03-fungi-and-its-development,8,class6To8,2,Microorganisms : Friend and Foe,3,Fungi and its development,biology,modelInspection,processTimeline,interactive3d,strongVrFit,low,10,250,biology:microorganisms-friend-and-foe,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c08-ch02-a04-food-preservation-pasteurization-of-milk,c8-ch02-a04-food-preservation-pasteurization-of-milk,8,class6To8,2,Microorganisms : Friend and Foe,4,Food Preservation: Pasteurization of milk,biology,modelInspection,,interactive3d,strongVrFit,low,10,250,biology:microorganisms-friend-and-foe,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c08-ch03-a01-polymer-introduction-and-classification-based-on-availability-source-and,c8-ch03-a01-polymer-introduction-and-classification-based-on-availability-source-and,8,class6To8,3,Synthetic Fibers and Plastics,1,Polymer: Introduction and Classification Based on Availability Source and Structure of Monomer Chain,chemistry,modelInspection,sortingBoard,interactive3d,strongVrFit,low,10,250,chemistry:synthetic-fibers-and-plastics,"Use labeled 3D inspection with isolate, zoom, explode, compare, and vocabulary layer."
sim-c08-ch03-a02-synthetic-fibers-introduction-and-types,c8-ch03-a02-synthetic-fibers-introduction-and-types,8,class6To8,3,Synthetic Fibers and Plastics,2,Synthetic Fibers: Introduction and Types,chemistry,sortingBoard,,interactive3d,strongVrFit,low,9,140,chemistry:synthetic-fibers-and-plastics,"Use drag-sort classification with immediate feedback, misconception traps, and instructor review mode."
sim-c08-ch03-a03-plastic-introduction-and-types,c8-ch03-a03-plastic-introduction-and-types,8,class6To8,3,Synthetic Fibers and Plastics,3,Plastic: Introduction and Types,chemistry,sortingBoard,,interactive3d,strongVrFit,low,9,140,chemistry:synthetic-fibers-and-plastics,"Use drag-sort classification with immediate feedback, misconception traps, and instructor review mode."
sim-c08-ch04-a01-conductivity-of-heat-in-metals,c8-ch04-a01-conductivity-of-heat-in-metals,8,class6To8,4,Materials : Metals and Non-Metals,1,Conductivity of heat in metals,physics,experimentBench,,practicalLabSimulation,strongVrFit,low,10,225,physics:materials-metals-and-non-metals,"Use variable controls, predict-observe-explain prompts, resettable safe lab state, and visible invisible forces or particles where useful."
sim-c08-ch04-a02-conductivity-of-electricity,c8-ch04-a02-conductivity-of-electricity,8,class6To8,4,Materials : Metals and Non-Metals,2,Conductivity of Electricity,physics,experimentBench,,practicalLabSimulation,strongVrFit,low,10,225,physics:materials-metals-and-non-metals,"Use variable controls, predict-observe-explain prompts, resettable safe lab state, and visible invisible forces or particles where useful."
